[2021-12-20 11:53:44 | info | root]: Now training is starting. We provide the parameters as the following
[2021-12-20 11:53:44 | info | root]: Dataset = coil
[2021-12-20 11:53:44 | info | root]: nz = 256
[2021-12-20 11:53:44 | info | root]: ngf = 16
[2021-12-20 11:53:44 | info | root]: nc = 1
[2021-12-20 11:53:44 | info | root]: lr = 0.0002
[2021-12-20 11:53:44 | info | root]: n_epochs = 500
[2021-12-20 11:53:44 | info | root]: Epoch : 0
[2021-12-20 11:53:45 | info | root]: Train Loss : 0.15912406
[2021-12-20 11:53:45 | info | root]: Test Loss : 0.1588532
[2021-12-20 11:53:45 | info | root]: Train Reconstruction Loss : 162.95413
[2021-12-20 11:53:45 | info | root]: Test Reconstruction Loss : 162.66568 

[2021-12-20 11:53:48 | info | root]: Epoch : 1
[2021-12-20 11:53:48 | info | root]: Train Loss : 0.07256479
[2021-12-20 11:53:48 | info | root]: Test Loss : 0.07247408
[2021-12-20 11:53:48 | info | root]: Train Reconstruction Loss : 74.29907
[2021-12-20 11:53:48 | info | root]: Test Reconstruction Loss : 74.213455 

[2021-12-20 11:53:48 | info | root]: Epoch : 2
[2021-12-20 11:53:48 | info | root]: Train Loss : 0.05217309
[2021-12-20 11:53:48 | info | root]: Test Loss : 0.052352488
[2021-12-20 11:53:48 | info | root]: Train Reconstruction Loss : 53.32004
[2021-12-20 11:53:48 | info | root]: Test Reconstruction Loss : 53.608948 

[2021-12-20 11:53:48 | info | root]: Epoch : 3
[2021-12-20 11:53:48 | info | root]: Train Loss : 0.042241186
[2021-12-20 11:53:48 | info | root]: Test Loss : 0.04281166
[2021-12-20 11:53:48 | info | root]: Train Reconstruction Loss : 43.2236
[2021-12-20 11:53:48 | info | root]: Test Reconstruction Loss : 43.839138 

[2021-12-20 11:53:49 | info | root]: Epoch : 4
[2021-12-20 11:53:49 | info | root]: Train Loss : 0.035937365
[2021-12-20 11:53:49 | info | root]: Test Loss : 0.03659603
[2021-12-20 11:53:49 | info | root]: Train Reconstruction Loss : 36.71163
[2021-12-20 11:53:49 | info | root]: Test Reconstruction Loss : 37.474335 

[2021-12-20 11:53:49 | info | root]: Epoch : 5
[2021-12-20 11:53:49 | info | root]: Train Loss : 0.031250425
[2021-12-20 11:53:49 | info | root]: Test Loss : 0.031988002
[2021-12-20 11:53:49 | info | root]: Train Reconstruction Loss : 32.041286
[2021-12-20 11:53:49 | info | root]: Test Reconstruction Loss : 32.755714 

[2021-12-20 11:53:49 | info | root]: Epoch : 6
[2021-12-20 11:53:49 | info | root]: Train Loss : 0.027696582
[2021-12-20 11:53:49 | info | root]: Test Loss : 0.028517872
[2021-12-20 11:53:49 | info | root]: Train Reconstruction Loss : 28.347721
[2021-12-20 11:53:49 | info | root]: Test Reconstruction Loss : 29.202301 

[2021-12-20 11:53:50 | info | root]: Epoch : 7
[2021-12-20 11:53:50 | info | root]: Train Loss : 0.02517123
[2021-12-20 11:53:50 | info | root]: Test Loss : 0.025856636
[2021-12-20 11:53:50 | info | root]: Train Reconstruction Loss : 25.614126
[2021-12-20 11:53:50 | info | root]: Test Reconstruction Loss : 26.477196 

[2021-12-20 11:53:50 | info | root]: Epoch : 8
[2021-12-20 11:53:50 | info | root]: Train Loss : 0.02279894
[2021-12-20 11:53:50 | info | root]: Test Loss : 0.023508728
[2021-12-20 11:53:50 | info | root]: Train Reconstruction Loss : 23.42903
[2021-12-20 11:53:50 | info | root]: Test Reconstruction Loss : 24.072937 

[2021-12-20 11:53:50 | info | root]: Epoch : 9
[2021-12-20 11:53:50 | info | root]: Train Loss : 0.020803971
[2021-12-20 11:53:50 | info | root]: Test Loss : 0.02164248
[2021-12-20 11:53:50 | info | root]: Train Reconstruction Loss : 21.31121
[2021-12-20 11:53:50 | info | root]: Test Reconstruction Loss : 22.1619 

[2021-12-20 11:53:50 | info | root]: Epoch : 10
[2021-12-20 11:53:50 | info | root]: Train Loss : 0.019201383
[2021-12-20 11:53:50 | info | root]: Test Loss : 0.020061135
[2021-12-20 11:53:50 | info | root]: Train Reconstruction Loss : 19.830765
[2021-12-20 11:53:50 | info | root]: Test Reconstruction Loss : 20.542603 

[2021-12-20 11:53:51 | info | root]: Epoch : 11
[2021-12-20 11:53:51 | info | root]: Train Loss : 0.017759716
[2021-12-20 11:53:51 | info | root]: Test Loss : 0.018499061
[2021-12-20 11:53:51 | info | root]: Train Reconstruction Loss : 18.19869
[2021-12-20 11:53:51 | info | root]: Test Reconstruction Loss : 18.943039 

[2021-12-20 11:53:51 | info | root]: Epoch : 12
[2021-12-20 11:53:51 | info | root]: Train Loss : 0.01644313
[2021-12-20 11:53:51 | info | root]: Test Loss : 0.017359462
[2021-12-20 11:53:51 | info | root]: Train Reconstruction Loss : 16.869297
[2021-12-20 11:53:51 | info | root]: Test Reconstruction Loss : 17.776089 

[2021-12-20 11:53:51 | info | root]: Epoch : 13
[2021-12-20 11:53:51 | info | root]: Train Loss : 0.015500746
[2021-12-20 11:53:51 | info | root]: Test Loss : 0.016286917
[2021-12-20 11:53:51 | info | root]: Train Reconstruction Loss : 15.835646
[2021-12-20 11:53:51 | info | root]: Test Reconstruction Loss : 16.677801 

[2021-12-20 11:53:51 | info | root]: Epoch : 14
[2021-12-20 11:53:51 | info | root]: Train Loss : 0.014576548
[2021-12-20 11:53:51 | info | root]: Test Loss : 0.015309629
[2021-12-20 11:53:51 | info | root]: Train Reconstruction Loss : 14.8753
[2021-12-20 11:53:51 | info | root]: Test Reconstruction Loss : 15.67706 

[2021-12-20 11:53:52 | info | root]: Epoch : 15
[2021-12-20 11:53:52 | info | root]: Train Loss : 0.013775123
[2021-12-20 11:53:52 | info | root]: Test Loss : 0.014518779
[2021-12-20 11:53:52 | info | root]: Train Reconstruction Loss : 14.103636
[2021-12-20 11:53:52 | info | root]: Test Reconstruction Loss : 14.867229 

[2021-12-20 11:53:52 | info | root]: Epoch : 16
[2021-12-20 11:53:52 | info | root]: Train Loss : 0.012938715
[2021-12-20 11:53:52 | info | root]: Test Loss : 0.013736452
[2021-12-20 11:53:52 | info | root]: Train Reconstruction Loss : 13.260173
[2021-12-20 11:53:52 | info | root]: Test Reconstruction Loss : 14.066127 

[2021-12-20 11:53:52 | info | root]: Epoch : 17
[2021-12-20 11:53:52 | info | root]: Train Loss : 0.012379781
[2021-12-20 11:53:52 | info | root]: Test Loss : 0.01317156
[2021-12-20 11:53:52 | info | root]: Train Reconstruction Loss : 12.794712
[2021-12-20 11:53:52 | info | root]: Test Reconstruction Loss : 13.487678 

[2021-12-20 11:53:52 | info | root]: Epoch : 18
[2021-12-20 11:53:52 | info | root]: Train Loss : 0.012069149
[2021-12-20 11:53:52 | info | root]: Test Loss : 0.012623678
[2021-12-20 11:53:52 | info | root]: Train Reconstruction Loss : 12.11195
[2021-12-20 11:53:52 | info | root]: Test Reconstruction Loss : 12.926646 

[2021-12-20 11:53:53 | info | root]: Epoch : 19
[2021-12-20 11:53:53 | info | root]: Train Loss : 0.011330241
[2021-12-20 11:53:53 | info | root]: Test Loss : 0.012109443
[2021-12-20 11:53:53 | info | root]: Train Reconstruction Loss : 11.561388
[2021-12-20 11:53:53 | info | root]: Test Reconstruction Loss : 12.40007 

[2021-12-20 11:53:53 | info | root]: Epoch : 20
[2021-12-20 11:53:53 | info | root]: Train Loss : 0.010632644
[2021-12-20 11:53:53 | info | root]: Test Loss : 0.011507792
[2021-12-20 11:53:53 | info | root]: Train Reconstruction Loss : 10.987502
[2021-12-20 11:53:53 | info | root]: Test Reconstruction Loss : 11.783979 

[2021-12-20 11:53:53 | info | root]: Epoch : 21
[2021-12-20 11:53:53 | info | root]: Train Loss : 0.010171675
[2021-12-20 11:53:53 | info | root]: Test Loss : 0.01100832
[2021-12-20 11:53:53 | info | root]: Train Reconstruction Loss : 10.412493
[2021-12-20 11:53:53 | info | root]: Test Reconstruction Loss : 11.27252 

[2021-12-20 11:53:53 | info | root]: Epoch : 22
[2021-12-20 11:53:53 | info | root]: Train Loss : 0.009973012
[2021-12-20 11:53:53 | info | root]: Test Loss : 0.010652268
[2021-12-20 11:53:53 | info | root]: Train Reconstruction Loss : 10.053501
[2021-12-20 11:53:53 | info | root]: Test Reconstruction Loss : 10.907923 

[2021-12-20 11:53:54 | info | root]: Epoch : 23
[2021-12-20 11:53:54 | info | root]: Train Loss : 0.009467188
[2021-12-20 11:53:54 | info | root]: Test Loss : 0.01029994
[2021-12-20 11:53:54 | info | root]: Train Reconstruction Loss : 9.681951
[2021-12-20 11:53:54 | info | root]: Test Reconstruction Loss : 10.547138 

[2021-12-20 11:53:54 | info | root]: Epoch : 24
[2021-12-20 11:53:54 | info | root]: Train Loss : 0.009130158
[2021-12-20 11:53:54 | info | root]: Test Loss : 0.0100836195
[2021-12-20 11:53:54 | info | root]: Train Reconstruction Loss : 9.459554
[2021-12-20 11:53:54 | info | root]: Test Reconstruction Loss : 10.325626 

[2021-12-20 11:53:54 | info | root]: Epoch : 25
[2021-12-20 11:53:54 | info | root]: Train Loss : 0.008888961
[2021-12-20 11:53:54 | info | root]: Test Loss : 0.009764746
[2021-12-20 11:53:54 | info | root]: Train Reconstruction Loss : 9.116371
[2021-12-20 11:53:54 | info | root]: Test Reconstruction Loss : 9.9991 

[2021-12-20 11:53:54 | info | root]: Epoch : 26
[2021-12-20 11:53:54 | info | root]: Train Loss : 0.008556534
[2021-12-20 11:53:54 | info | root]: Test Loss : 0.009484218
[2021-12-20 11:53:54 | info | root]: Train Reconstruction Loss : 8.839644
[2021-12-20 11:53:54 | info | root]: Test Reconstruction Loss : 9.71184 

[2021-12-20 11:53:55 | info | root]: Epoch : 27
[2021-12-20 11:53:55 | info | root]: Train Loss : 0.008336981
[2021-12-20 11:53:55 | info | root]: Test Loss : 0.009219682
[2021-12-20 11:53:55 | info | root]: Train Reconstruction Loss : 8.5061655
[2021-12-20 11:53:55 | info | root]: Test Reconstruction Loss : 9.440954 

[2021-12-20 11:53:55 | info | root]: Epoch : 28
[2021-12-20 11:53:55 | info | root]: Train Loss : 0.007988175
[2021-12-20 11:53:55 | info | root]: Test Loss : 0.008945612
[2021-12-20 11:53:55 | info | root]: Train Reconstruction Loss : 8.326118
[2021-12-20 11:53:55 | info | root]: Test Reconstruction Loss : 9.160307 

[2021-12-20 11:53:55 | info | root]: Epoch : 29
[2021-12-20 11:53:55 | info | root]: Train Loss : 0.007823039
[2021-12-20 11:53:55 | info | root]: Test Loss : 0.008735096
[2021-12-20 11:53:55 | info | root]: Train Reconstruction Loss : 7.9917245
[2021-12-20 11:53:55 | info | root]: Test Reconstruction Loss : 8.944738 

[2021-12-20 11:53:55 | info | root]: Epoch : 30
[2021-12-20 11:53:55 | info | root]: Train Loss : 0.007603253
[2021-12-20 11:53:55 | info | root]: Test Loss : 0.00860511
[2021-12-20 11:53:55 | info | root]: Train Reconstruction Loss : 7.7532187
[2021-12-20 11:53:55 | info | root]: Test Reconstruction Loss : 8.811633 

[2021-12-20 11:53:56 | info | root]: Epoch : 31
[2021-12-20 11:53:56 | info | root]: Train Loss : 0.007312516
[2021-12-20 11:53:56 | info | root]: Test Loss : 0.00834718
[2021-12-20 11:53:56 | info | root]: Train Reconstruction Loss : 7.5361805
[2021-12-20 11:53:56 | info | root]: Test Reconstruction Loss : 8.547512 

[2021-12-20 11:53:56 | info | root]: Epoch : 32
[2021-12-20 11:53:56 | info | root]: Train Loss : 0.0071886736
[2021-12-20 11:53:56 | info | root]: Test Loss : 0.008085748
[2021-12-20 11:53:56 | info | root]: Train Reconstruction Loss : 7.374989
[2021-12-20 11:53:56 | info | root]: Test Reconstruction Loss : 8.279806 

[2021-12-20 11:53:56 | info | root]: Epoch : 33
[2021-12-20 11:53:56 | info | root]: Train Loss : 0.0070298295
[2021-12-20 11:53:56 | info | root]: Test Loss : 0.008000398
