[2021-12-14 22:28:30 | info | root]: Now training is starting. We provide the parameters as the following
[2021-12-14 22:28:30 | info | root]: Dataset = mnist
[2021-12-14 22:28:30 | info | root]: nz = 256
[2021-12-14 22:28:30 | info | root]: ngf = 16
[2021-12-14 22:28:30 | info | root]: nc = 1
[2021-12-14 22:28:30 | info | root]: lr = 0.0002
[2021-12-14 22:28:30 | info | root]: n_epochs = 500
[2021-12-14 22:28:30 | info | root]: Epoch : 0
[2021-12-14 22:28:31 | info | root]: Train Loss : 0.2650827
[2021-12-14 22:28:31 | info | root]: Test Loss : 0.2651822
[2021-12-14 22:28:31 | info | root]: Train Reconstruction Loss : 271.4459
[2021-12-14 22:28:31 | info | root]: Test Reconstruction Loss : 271.54654 

[2021-12-14 22:28:48 | info | root]: Epoch : 1
[2021-12-14 22:28:49 | info | root]: Train Loss : 0.005253198
[2021-12-14 22:28:49 | info | root]: Test Loss : 0.0059002135
[2021-12-14 22:28:49 | info | root]: Train Reconstruction Loss : 5.3770223
[2021-12-14 22:28:49 | info | root]: Test Reconstruction Loss : 6.0418186 

[2021-12-14 22:29:02 | info | root]: Epoch : 2
[2021-12-14 22:29:02 | info | root]: Train Loss : 0.0021052808
[2021-12-14 22:29:02 | info | root]: Test Loss : 0.0027375491
[2021-12-14 22:29:03 | info | root]: Train Reconstruction Loss : 2.1581266
[2021-12-14 22:29:03 | info | root]: Test Reconstruction Loss : 2.8032503 

[2021-12-14 22:29:17 | info | root]: Epoch : 3
[2021-12-14 22:29:19 | info | root]: Train Loss : 0.0015103476
[2021-12-14 22:29:20 | info | root]: Test Loss : 0.0020517423
[2021-12-14 22:29:21 | info | root]: Train Reconstruction Loss : 1.5470753
[2021-12-14 22:29:21 | info | root]: Test Reconstruction Loss : 2.100984 

[2021-12-14 22:29:34 | info | root]: Epoch : 4
[2021-12-14 22:29:34 | info | root]: Train Loss : 0.0012807227
[2021-12-14 22:29:34 | info | root]: Test Loss : 0.0017805139
[2021-12-14 22:29:34 | info | root]: Train Reconstruction Loss : 1.3176668
[2021-12-14 22:29:34 | info | root]: Test Reconstruction Loss : 1.8232462 

[2021-12-14 22:29:47 | info | root]: Epoch : 5
[2021-12-14 22:29:47 | info | root]: Train Loss : 0.0011048983
[2021-12-14 22:29:48 | info | root]: Test Loss : 0.001596591
[2021-12-14 22:29:48 | info | root]: Train Reconstruction Loss : 1.1323423
[2021-12-14 22:29:49 | info | root]: Test Reconstruction Loss : 1.6349092 

[2021-12-14 22:30:02 | info | root]: Epoch : 6
[2021-12-14 22:30:02 | info | root]: Train Loss : 0.0010223765
[2021-12-14 22:30:03 | info | root]: Test Loss : 0.0015176648
[2021-12-14 22:30:03 | info | root]: Train Reconstruction Loss : 1.0456142
[2021-12-14 22:30:03 | info | root]: Test Reconstruction Loss : 1.5540887 

[2021-12-14 22:30:16 | info | root]: Epoch : 7
[2021-12-14 22:30:16 | info | root]: Train Loss : 0.0009580589
[2021-12-14 22:30:16 | info | root]: Test Loss : 0.0013437865
[2021-12-14 22:30:17 | info | root]: Train Reconstruction Loss : 0.98304164
[2021-12-14 22:30:17 | info | root]: Test Reconstruction Loss : 1.3760374 

[2021-12-14 22:30:30 | info | root]: Epoch : 8
[2021-12-14 22:30:30 | info | root]: Train Loss : 0.00088029593
[2021-12-14 22:30:30 | info | root]: Test Loss : 0.0012834966
[2021-12-14 22:30:30 | info | root]: Train Reconstruction Loss : 0.9011013
[2021-12-14 22:30:30 | info | root]: Test Reconstruction Loss : 1.3143005 

[2021-12-14 22:30:43 | info | root]: Epoch : 9
[2021-12-14 22:30:43 | info | root]: Train Loss : 0.0008156696
