[2021-12-16 01:05:21 | info | root]: Now training is starting. We provide the parameters as the following
[2021-12-16 01:05:22 | info | root]: Dataset = fashion
[2021-12-16 01:05:22 | info | root]: nz = 512
[2021-12-16 01:05:22 | info | root]: ngf = 16
[2021-12-16 01:05:22 | info | root]: nc = 1
[2021-12-16 01:05:23 | info | root]: lr = 0.0002
[2021-12-16 01:05:23 | info | root]: n_epochs = 500
[2021-12-16 01:05:23 | info | root]: Epoch : 0
[2021-12-16 01:05:24 | info | root]: Train Loss : 0.2460611
[2021-12-16 01:05:24 | info | root]: Test Loss : 0.24510667
[2021-12-16 01:05:24 | info | root]: Train Reconstruction Loss : 251.9833
[2021-12-16 01:05:24 | info | root]: Test Reconstruction Loss : 250.98923 

[2021-12-16 01:05:47 | info | root]: Epoch : 1
[2021-12-16 01:05:47 | info | root]: Train Loss : 0.009815224
[2021-12-16 01:05:47 | info | root]: Test Loss : 0.009927077
[2021-12-16 01:05:47 | info | root]: Train Reconstruction Loss : 10.059149
[2021-12-16 01:05:47 | info | root]: Test Reconstruction Loss : 10.165327 

[2021-12-16 01:06:05 | info | root]: Epoch : 2
[2021-12-16 01:06:05 | info | root]: Train Loss : 0.005067606
[2021-12-16 01:06:05 | info | root]: Test Loss : 0.005113335
[2021-12-16 01:06:05 | info | root]: Train Reconstruction Loss : 5.1903205
[2021-12-16 01:06:05 | info | root]: Test Reconstruction Loss : 5.236055 

[2021-12-16 01:06:22 | info | root]: Epoch : 3
[2021-12-16 01:06:23 | info | root]: Train Loss : 0.0038472998
[2021-12-16 01:06:23 | info | root]: Test Loss : 0.003911652
[2021-12-16 01:06:23 | info | root]: Train Reconstruction Loss : 3.9292722
[2021-12-16 01:06:23 | info | root]: Test Reconstruction Loss : 4.005532 

[2021-12-16 01:06:42 | info | root]: Epoch : 4
[2021-12-16 01:06:43 | info | root]: Train Loss : 0.0030606296
[2021-12-16 01:06:43 | info | root]: Test Loss : 0.0031253102
[2021-12-16 01:06:43 | info | root]: Train Reconstruction Loss : 3.1256635
[2021-12-16 01:06:43 | info | root]: Test Reconstruction Loss : 3.2003176 

[2021-12-16 01:07:03 | info | root]: Epoch : 5
[2021-12-16 01:07:03 | info | root]: Train Loss : 0.002636597
[2021-12-16 01:07:03 | info | root]: Test Loss : 0.002693476
[2021-12-16 01:07:03 | info | root]: Train Reconstruction Loss : 2.6870425
[2021-12-16 01:07:03 | info | root]: Test Reconstruction Loss : 2.7581193 

[2021-12-16 01:07:21 | info | root]: Epoch : 6
[2021-12-16 01:07:21 | info | root]: Train Loss : 0.0023443445
[2021-12-16 01:07:21 | info | root]: Test Loss : 0.0024291803
[2021-12-16 01:07:21 | info | root]: Train Reconstruction Loss : 2.404718
[2021-12-16 01:07:21 | info | root]: Test Reconstruction Loss : 2.4874806 

[2021-12-16 01:07:39 | info | root]: Epoch : 7
[2021-12-16 01:07:39 | info | root]: Train Loss : 0.002084836
[2021-12-16 01:07:39 | info | root]: Test Loss : 0.0021517272
[2021-12-16 01:07:39 | info | root]: Train Reconstruction Loss : 2.128894
[2021-12-16 01:07:39 | info | root]: Test Reconstruction Loss : 2.2033687 

[2021-12-16 01:07:56 | info | root]: Epoch : 8
[2021-12-16 01:07:56 | info | root]: Train Loss : 0.0019897337
[2021-12-16 01:07:57 | info | root]: Test Loss : 0.0020575703
[2021-12-16 01:07:57 | info | root]: Train Reconstruction Loss : 2.0448258
[2021-12-16 01:07:57 | info | root]: Test Reconstruction Loss : 2.106952 

[2021-12-16 01:08:16 | info | root]: Epoch : 9
[2021-12-16 01:08:16 | info | root]: Train Loss : 0.0018568094
[2021-12-16 01:08:16 | info | root]: Test Loss : 0.0019158045
[2021-12-16 01:08:16 | info | root]: Train Reconstruction Loss : 1.8963894
[2021-12-16 01:08:16 | info | root]: Test Reconstruction Loss : 1.961784 

[2021-12-16 01:08:34 | info | root]: Epoch : 10
[2021-12-16 01:08:34 | info | root]: Train Loss : 0.0016438505
[2021-12-16 01:08:34 | info | root]: Test Loss : 0.0017030301
[2021-12-16 01:08:34 | info | root]: Train Reconstruction Loss : 1.6806246
[2021-12-16 01:08:34 | info | root]: Test Reconstruction Loss : 1.7439028 

[2021-12-16 01:08:52 | info | root]: Epoch : 11
[2021-12-16 01:08:53 | info | root]: Train Loss : 0.0015373481
[2021-12-16 01:08:54 | info | root]: Test Loss : 0.0015902192
[2021-12-16 01:08:55 | info | root]: Train Reconstruction Loss : 1.5722886
[2021-12-16 01:08:55 | info | root]: Test Reconstruction Loss : 1.6283845 

[2021-12-16 01:09:14 | info | root]: Epoch : 12
[2021-12-16 01:09:15 | info | root]: Train Loss : 0.0015309667
[2021-12-16 01:09:16 | info | root]: Test Loss : 0.0015823279
[2021-12-16 01:09:16 | info | root]: Train Reconstruction Loss : 1.5709252
[2021-12-16 01:09:16 | info | root]: Test Reconstruction Loss : 1.6203038 

[2021-12-16 01:09:31 | info | root]: Epoch : 13
[2021-12-16 01:09:31 | info | root]: Train Loss : 0.0013787295
[2021-12-16 01:09:31 | info | root]: Test Loss : 0.0014401027
[2021-12-16 01:09:31 | info | root]: Train Reconstruction Loss : 1.416949
[2021-12-16 01:09:31 | info | root]: Test Reconstruction Loss : 1.4746652 

[2021-12-16 01:09:50 | info | root]: Epoch : 14
[2021-12-16 01:09:50 | info | root]: Train Loss : 0.0015000721
[2021-12-16 01:09:50 | info | root]: Test Loss : 0.0015557479
[2021-12-16 01:09:50 | info | root]: Train Reconstruction Loss : 1.5328654
[2021-12-16 01:09:50 | info | root]: Test Reconstruction Loss : 1.5930859 

[2021-12-16 01:10:07 | info | root]: Epoch : 15
[2021-12-16 01:10:07 | info | root]: Train Loss : 0.0012740076
[2021-12-16 01:10:07 | info | root]: Test Loss : 0.0013334563
[2021-12-16 01:10:07 | info | root]: Train Reconstruction Loss : 1.3060732
[2021-12-16 01:10:07 | info | root]: Test Reconstruction Loss : 1.3654592 

[2021-12-16 01:10:25 | info | root]: Epoch : 16
[2021-12-16 01:10:26 | info | root]: Train Loss : 0.0012045257
[2021-12-16 01:10:26 | info | root]: Test Loss : 0.0012588733
[2021-12-16 01:10:26 | info | root]: Train Reconstruction Loss : 1.2363325
[2021-12-16 01:10:26 | info | root]: Test Reconstruction Loss : 1.2890862 

[2021-12-16 01:10:45 | info | root]: Epoch : 17
[2021-12-16 01:10:45 | info | root]: Train Loss : 0.0011634442
[2021-12-16 01:10:45 | info | root]: Test Loss : 0.0012155966
[2021-12-16 01:10:45 | info | root]: Train Reconstruction Loss : 1.1902881
[2021-12-16 01:10:45 | info | root]: Test Reconstruction Loss : 1.2447709 

[2021-12-16 01:11:02 | info | root]: Epoch : 18
[2021-12-16 01:11:02 | info | root]: Train Loss : 0.0012066992
[2021-12-16 01:11:02 | info | root]: Test Loss : 0.0012545849
[2021-12-16 01:11:02 | info | root]: Train Reconstruction Loss : 1.2377648
[2021-12-16 01:11:02 | info | root]: Test Reconstruction Loss : 1.2846949 

[2021-12-16 01:11:20 | info | root]: Epoch : 19
[2021-12-16 01:11:21 | info | root]: Train Loss : 0.0011133292
[2021-12-16 01:11:22 | info | root]: Test Loss : 0.0011642027
[2021-12-16 01:11:22 | info | root]: Train Reconstruction Loss : 1.1366194
[2021-12-16 01:11:22 | info | root]: Test Reconstruction Loss : 1.1921436 

[2021-12-16 01:11:39 | info | root]: Epoch : 20
[2021-12-16 01:11:39 | info | root]: Train Loss : 0.0010867284
[2021-12-16 01:11:39 | info | root]: Test Loss : 0.0011336136
[2021-12-16 01:11:39 | info | root]: Train Reconstruction Loss : 1.1095233
[2021-12-16 01:11:39 | info | root]: Test Reconstruction Loss : 1.1608202 

[2021-12-16 01:11:57 | info | root]: Epoch : 21
[2021-12-16 01:11:58 | info | root]: Train Loss : 0.0010330087
[2021-12-16 01:11:58 | info | root]: Test Loss : 0.0010808363
[2021-12-16 01:11:58 | info | root]: Train Reconstruction Loss : 1.0556267
[2021-12-16 01:11:58 | info | root]: Test Reconstruction Loss : 1.1067764 

[2021-12-16 01:12:17 | info | root]: Epoch : 22
[2021-12-16 01:12:17 | info | root]: Train Loss : 0.001009172
[2021-12-16 01:12:17 | info | root]: Test Loss : 0.0010618208
[2021-12-16 01:12:17 | info | root]: Train Reconstruction Loss : 1.0361772
[2021-12-16 01:12:17 | info | root]: Test Reconstruction Loss : 1.0873045 

[2021-12-16 01:12:33 | info | root]: Epoch : 23
[2021-12-16 01:12:34 | info | root]: Train Loss : 0.00119521
