[2021-12-16 14:51:34 | info | root]: Now training is starting. We provide the parameters as the following
[2021-12-16 14:51:34 | info | root]: Dataset = cifar
[2021-12-16 14:51:35 | info | root]: nz = 256
[2021-12-16 14:51:35 | info | root]: ngf = 32
[2021-12-16 14:51:35 | info | root]: nc = 3
[2021-12-16 14:51:35 | info | root]: lr = 0.0002
[2021-12-16 14:51:35 | info | root]: n_epochs = 500
[2021-12-16 14:51:35 | info | root]: Epoch : 0
[2021-12-16 14:51:36 | info | root]: Train Loss : 0.27081913
[2021-12-16 14:51:36 | info | root]: Test Loss : 0.26986504
[2021-12-16 14:51:36 | info | root]: Train Reconstruction Loss : 277.30594
[2021-12-16 14:51:36 | info | root]: Test Reconstruction Loss : 276.3418 

[2021-12-16 14:51:58 | info | root]: Epoch : 1
[2021-12-16 14:51:58 | info | root]: Train Loss : 0.021385977
[2021-12-16 14:51:58 | info | root]: Test Loss : 0.021465456
[2021-12-16 14:51:58 | info | root]: Train Reconstruction Loss : 21.859442
[2021-12-16 14:51:58 | info | root]: Test Reconstruction Loss : 21.980627 

[2021-12-16 14:52:14 | info | root]: Epoch : 2
[2021-12-16 14:52:14 | info | root]: Train Loss : 0.016879912
[2021-12-16 14:52:14 | info | root]: Test Loss : 0.017105235
[2021-12-16 14:52:14 | info | root]: Train Reconstruction Loss : 17.285292
[2021-12-16 14:52:14 | info | root]: Test Reconstruction Loss : 17.51576 

[2021-12-16 14:52:30 | info | root]: Epoch : 3
[2021-12-16 14:52:30 | info | root]: Train Loss : 0.014508152
[2021-12-16 14:52:30 | info | root]: Test Loss : 0.01460128
[2021-12-16 14:52:30 | info | root]: Train Reconstruction Loss : 14.792993
[2021-12-16 14:52:30 | info | root]: Test Reconstruction Loss : 14.951714 

[2021-12-16 14:52:46 | info | root]: Epoch : 4
[2021-12-16 14:52:46 | info | root]: Train Loss : 0.013120205
[2021-12-16 14:52:46 | info | root]: Test Loss : 0.013351562
[2021-12-16 14:52:46 | info | root]: Train Reconstruction Loss : 13.537406
[2021-12-16 14:52:46 | info | root]: Test Reconstruction Loss : 13.672 

[2021-12-16 14:53:02 | info | root]: Epoch : 5
[2021-12-16 14:53:02 | info | root]: Train Loss : 0.012353792
[2021-12-16 14:53:02 | info | root]: Test Loss : 0.012464524
[2021-12-16 14:53:02 | info | root]: Train Reconstruction Loss : 12.62014
[2021-12-16 14:53:02 | info | root]: Test Reconstruction Loss : 12.763673 

[2021-12-16 14:53:18 | info | root]: Epoch : 6
[2021-12-16 14:53:18 | info | root]: Train Loss : 0.011746386
[2021-12-16 14:53:18 | info | root]: Test Loss : 0.0119015295
[2021-12-16 14:53:18 | info | root]: Train Reconstruction Loss : 12.00543
[2021-12-16 14:53:19 | info | root]: Test Reconstruction Loss : 12.187166 

[2021-12-16 14:53:35 | info | root]: Epoch : 7
[2021-12-16 14:53:35 | info | root]: Train Loss : 0.011388947
[2021-12-16 14:53:36 | info | root]: Test Loss : 0.011495077
[2021-12-16 14:53:36 | info | root]: Train Reconstruction Loss : 11.5903225
[2021-12-16 14:53:36 | info | root]: Test Reconstruction Loss : 11.770959 

[2021-12-16 14:53:52 | info | root]: Epoch : 8
[2021-12-16 14:53:52 | info | root]: Train Loss : 0.010876137
[2021-12-16 14:53:52 | info | root]: Test Loss : 0.010920645
[2021-12-16 14:53:52 | info | root]: Train Reconstruction Loss : 11.130442
[2021-12-16 14:53:52 | info | root]: Test Reconstruction Loss : 11.18274 

[2021-12-16 14:54:08 | info | root]: Epoch : 9
[2021-12-16 14:54:09 | info | root]: Train Loss : 0.010551754
[2021-12-16 14:54:09 | info | root]: Test Loss : 0.010686149
[2021-12-16 14:54:09 | info | root]: Train Reconstruction Loss : 10.791506
[2021-12-16 14:54:09 | info | root]: Test Reconstruction Loss : 10.942616 

[2021-12-16 14:54:25 | info | root]: Epoch : 10
[2021-12-16 14:54:25 | info | root]: Train Loss : 0.010223623
[2021-12-16 14:54:25 | info | root]: Test Loss : 0.010342549
[2021-12-16 14:54:25 | info | root]: Train Reconstruction Loss : 10.509865
[2021-12-16 14:54:25 | info | root]: Test Reconstruction Loss : 10.59077 

[2021-12-16 14:54:41 | info | root]: Epoch : 11
[2021-12-16 14:54:42 | info | root]: Train Loss : 0.009984569
[2021-12-16 14:54:42 | info | root]: Test Loss : 0.01016739
[2021-12-16 14:54:42 | info | root]: Train Reconstruction Loss : 10.231876
[2021-12-16 14:54:42 | info | root]: Test Reconstruction Loss : 10.411407 

[2021-12-16 14:54:59 | info | root]: Epoch : 12
[2021-12-16 14:54:59 | info | root]: Train Loss : 0.009926257
[2021-12-16 14:54:59 | info | root]: Test Loss : 0.010053226
[2021-12-16 14:54:59 | info | root]: Train Reconstruction Loss : 10.196622
[2021-12-16 14:54:59 | info | root]: Test Reconstruction Loss : 10.294503 

[2021-12-16 14:55:15 | info | root]: Epoch : 13
[2021-12-16 14:55:15 | info | root]: Train Loss : 0.0097446805
[2021-12-16 14:55:15 | info | root]: Test Loss : 0.009929383
[2021-12-16 14:55:15 | info | root]: Train Reconstruction Loss : 10.017631
[2021-12-16 14:55:15 | info | root]: Test Reconstruction Loss : 10.167688 

[2021-12-16 14:55:32 | info | root]: Epoch : 14
[2021-12-16 14:55:32 | info | root]: Train Loss : 0.009567641
[2021-12-16 14:55:32 | info | root]: Test Loss : 0.0097032385
[2021-12-16 14:55:32 | info | root]: Train Reconstruction Loss : 9.808915
[2021-12-16 14:55:32 | info | root]: Test Reconstruction Loss : 9.936116 

[2021-12-16 14:55:48 | info | root]: Epoch : 15
[2021-12-16 14:55:48 | info | root]: Train Loss : 0.009417552
[2021-12-16 14:55:48 | info | root]: Test Loss : 0.009565423
[2021-12-16 14:55:48 | info | root]: Train Reconstruction Loss : 9.684262
[2021-12-16 14:55:48 | info | root]: Test Reconstruction Loss : 9.794993 

[2021-12-16 14:56:05 | info | root]: Epoch : 16
[2021-12-16 14:56:05 | info | root]: Train Loss : 0.0095166415
[2021-12-16 14:56:05 | info | root]: Test Loss : 0.009691806
[2021-12-16 14:56:05 | info | root]: Train Reconstruction Loss : 9.820762
[2021-12-16 14:56:05 | info | root]: Test Reconstruction Loss : 9.924409 

[2021-12-16 14:56:22 | info | root]: Epoch : 17
[2021-12-16 14:56:22 | info | root]: Train Loss : 0.00912428
[2021-12-16 14:56:22 | info | root]: Test Loss : 0.009275373
[2021-12-16 14:56:22 | info | root]: Train Reconstruction Loss : 9.322776
[2021-12-16 14:56:22 | info | root]: Test Reconstruction Loss : 9.497982 

[2021-12-16 14:56:38 | info | root]: Epoch : 18
[2021-12-16 14:56:39 | info | root]: Train Loss : 0.009434124
[2021-12-16 14:56:40 | info | root]: Test Loss : 0.009618672
