[2021-12-15 11:55:25 | info | root]: Now training is starting. We provide the parameters as the following
[2021-12-15 11:55:26 | info | root]: Dataset = cifar
[2021-12-15 11:55:26 | info | root]: nz = 256
[2021-12-15 11:55:26 | info | root]: ngf = 16
[2021-12-15 11:55:27 | info | root]: nc = 3
[2021-12-15 11:55:27 | info | root]: lr = 0.0002
[2021-12-15 11:55:27 | info | root]: n_epochs = 500
[2021-12-15 11:55:27 | info | root]: Epoch : 0
[2021-12-15 11:55:28 | info | root]: Train Loss : 0.20168237
[2021-12-15 11:55:28 | info | root]: Test Loss : 0.2008789
[2021-12-15 11:55:28 | info | root]: Train Reconstruction Loss : 206.52275
[2021-12-15 11:55:28 | info | root]: Test Reconstruction Loss : 205.7 

[2021-12-15 11:55:47 | info | root]: Epoch : 1
[2021-12-15 11:55:47 | info | root]: Train Loss : 0.042585455
[2021-12-15 11:55:47 | info | root]: Test Loss : 0.042616434
[2021-12-15 11:55:47 | info | root]: Train Reconstruction Loss : 43.607506
[2021-12-15 11:55:47 | info | root]: Test Reconstruction Loss : 43.63923 

[2021-12-15 11:56:01 | info | root]: Epoch : 2
[2021-12-15 11:56:01 | info | root]: Train Loss : 0.028669894
[2021-12-15 11:56:01 | info | root]: Test Loss : 0.0286831
[2021-12-15 11:56:01 | info | root]: Train Reconstruction Loss : 29.357971
[2021-12-15 11:56:01 | info | root]: Test Reconstruction Loss : 29.371494 

[2021-12-15 11:56:16 | info | root]: Epoch : 3
[2021-12-15 11:56:16 | info | root]: Train Loss : 0.034896247
[2021-12-15 11:56:16 | info | root]: Test Loss : 0.034837414
[2021-12-15 11:56:16 | info | root]: Train Reconstruction Loss : 35.733757
[2021-12-15 11:56:16 | info | root]: Test Reconstruction Loss : 35.67351 

[2021-12-15 11:56:30 | info | root]: Epoch : 4
[2021-12-15 11:56:30 | info | root]: Train Loss : 0.028747823
[2021-12-15 11:56:30 | info | root]: Test Loss : 0.028654383
[2021-12-15 11:56:30 | info | root]: Train Reconstruction Loss : 29.43777
[2021-12-15 11:56:30 | info | root]: Test Reconstruction Loss : 29.342089 

[2021-12-15 11:56:45 | info | root]: Epoch : 5
[2021-12-15 11:56:45 | info | root]: Train Loss : 0.024837146
[2021-12-15 11:56:45 | info | root]: Test Loss : 0.024828339
[2021-12-15 11:56:45 | info | root]: Train Reconstruction Loss : 25.433237
[2021-12-15 11:56:45 | info | root]: Test Reconstruction Loss : 25.42422 

[2021-12-15 11:56:59 | info | root]: Epoch : 6
[2021-12-15 11:57:00 | info | root]: Train Loss : 0.024563422
[2021-12-15 11:57:00 | info | root]: Test Loss : 0.024557728
[2021-12-15 11:57:01 | info | root]: Train Reconstruction Loss : 25.152945
[2021-12-15 11:57:01 | info | root]: Test Reconstruction Loss : 25.147114 

[2021-12-15 11:57:16 | info | root]: Epoch : 7
[2021-12-15 11:57:16 | info | root]: Train Loss : 0.028367635
[2021-12-15 11:57:16 | info | root]: Test Loss : 0.028437648
[2021-12-15 11:57:16 | info | root]: Train Reconstruction Loss : 29.048458
[2021-12-15 11:57:16 | info | root]: Test Reconstruction Loss : 29.120152 

[2021-12-15 11:57:31 | info | root]: Epoch : 8
[2021-12-15 11:57:31 | info | root]: Train Loss : 0.023114514
[2021-12-15 11:57:31 | info | root]: Test Loss : 0.023045616
[2021-12-15 11:57:31 | info | root]: Train Reconstruction Loss : 23.669262
[2021-12-15 11:57:31 | info | root]: Test Reconstruction Loss : 23.598711 

[2021-12-15 11:57:45 | info | root]: Epoch : 9
[2021-12-15 11:57:45 | info | root]: Train Loss : 0.03616144
[2021-12-15 11:57:45 | info | root]: Test Loss : 0.03609192
[2021-12-15 11:57:45 | info | root]: Train Reconstruction Loss : 37.029316
[2021-12-15 11:57:45 | info | root]: Test Reconstruction Loss : 36.958126 

[2021-12-15 11:58:00 | info | root]: Epoch : 10
[2021-12-15 11:58:00 | info | root]: Train Loss : 0.031906556
[2021-12-15 11:58:00 | info | root]: Test Loss : 0.031863384
[2021-12-15 11:58:00 | info | root]: Train Reconstruction Loss : 32.672318
[2021-12-15 11:58:00 | info | root]: Test Reconstruction Loss : 32.6281 

[2021-12-15 11:58:15 | info | root]: Epoch : 11
[2021-12-15 11:58:15 | info | root]: Train Loss : 0.025792804
[2021-12-15 11:58:15 | info | root]: Test Loss : 0.025709629
[2021-12-15 11:58:15 | info | root]: Train Reconstruction Loss : 26.411835
[2021-12-15 11:58:15 | info | root]: Test Reconstruction Loss : 26.32666 

[2021-12-15 11:58:29 | info | root]: Epoch : 12
[2021-12-15 11:58:29 | info | root]: Train Loss : 0.02681464
[2021-12-15 11:58:29 | info | root]: Test Loss : 0.026853906
[2021-12-15 11:58:29 | info | root]: Train Reconstruction Loss : 27.45819
[2021-12-15 11:58:29 | info | root]: Test Reconstruction Loss : 27.4984 

[2021-12-15 11:58:43 | info | root]: Epoch : 13
[2021-12-15 11:58:44 | info | root]: Train Loss : 0.022509694
[2021-12-15 11:58:44 | info | root]: Test Loss : 0.022525728
[2021-12-15 11:58:44 | info | root]: Train Reconstruction Loss : 23.049927
[2021-12-15 11:58:44 | info | root]: Test Reconstruction Loss : 23.066345 

[2021-12-15 11:58:58 | info | root]: Epoch : 14
[2021-12-15 11:58:58 | info | root]: Train Loss : 0.019693032
[2021-12-15 11:58:58 | info | root]: Test Loss : 0.019753953
[2021-12-15 11:58:58 | info | root]: Train Reconstruction Loss : 20.165665
[2021-12-15 11:58:58 | info | root]: Test Reconstruction Loss : 20.228048 

[2021-12-15 11:59:13 | info | root]: Epoch : 15
[2021-12-15 11:59:13 | info | root]: Train Loss : 0.018083388
[2021-12-15 11:59:13 | info | root]: Test Loss : 0.018072665
[2021-12-15 11:59:13 | info | root]: Train Reconstruction Loss : 18.51739
[2021-12-15 11:59:13 | info | root]: Test Reconstruction Loss : 18.506409 

[2021-12-15 11:59:27 | info | root]: Epoch : 16
[2021-12-15 11:59:27 | info | root]: Train Loss : 0.017099177
[2021-12-15 11:59:27 | info | root]: Test Loss : 0.01710099
[2021-12-15 11:59:27 | info | root]: Train Reconstruction Loss : 17.50956
[2021-12-15 11:59:27 | info | root]: Test Reconstruction Loss : 17.511414 

[2021-12-15 11:59:42 | info | root]: Epoch : 17
[2021-12-15 11:59:42 | info | root]: Train Loss : 0.016385047
[2021-12-15 11:59:42 | info | root]: Test Loss : 0.016485637
[2021-12-15 11:59:42 | info | root]: Train Reconstruction Loss : 16.778288
[2021-12-15 11:59:42 | info | root]: Test Reconstruction Loss : 16.881292 

[2021-12-15 11:59:57 | info | root]: Epoch : 18
[2021-12-15 11:59:58 | info | root]: Train Loss : 0.015796917
[2021-12-15 11:59:58 | info | root]: Test Loss : 0.01591544
[2021-12-15 11:59:58 | info | root]: Train Reconstruction Loss : 16.176044
[2021-12-15 11:59:58 | info | root]: Test Reconstruction Loss : 16.297411 

[2021-12-15 12:00:13 | info | root]: Epoch : 19
[2021-12-15 12:00:14 | info | root]: Train Loss : 0.015145785
[2021-12-15 12:00:14 | info | root]: Test Loss : 0.015202618
[2021-12-15 12:00:15 | info | root]: Train Reconstruction Loss : 15.509284
[2021-12-15 12:00:15 | info | root]: Test Reconstruction Loss : 15.567478 

[2021-12-15 12:00:30 | info | root]: Epoch : 20
[2021-12-15 12:00:30 | info | root]: Train Loss : 0.01463659
[2021-12-15 12:00:30 | info | root]: Test Loss : 0.014740886
[2021-12-15 12:00:30 | info | root]: Train Reconstruction Loss : 14.987868
[2021-12-15 12:00:30 | info | root]: Test Reconstruction Loss : 15.094666 

[2021-12-15 12:00:44 | info | root]: Epoch : 21
[2021-12-15 12:00:45 | info | root]: Train Loss : 0.014191632
[2021-12-15 12:00:45 | info | root]: Test Loss : 0.014226733
