[2021-12-15 01:13:09 | info | root]: Now training is starting. We provide the parameters as the following
[2021-12-15 01:13:09 | info | root]: Dataset = cifar
[2021-12-15 01:13:09 | info | root]: nz = 256
[2021-12-15 01:13:09 | info | root]: ngf = 16
[2021-12-15 01:13:10 | info | root]: nc = 3
[2021-12-15 01:13:10 | info | root]: lr = 0.0002
[2021-12-15 01:13:10 | info | root]: n_epochs = 500
[2021-12-15 01:13:10 | info | root]: Epoch : 0
[2021-12-15 01:13:11 | info | root]: Train Loss : 0.20688456
[2021-12-15 01:13:12 | info | root]: Test Loss : 0.20570935
[2021-12-15 01:13:12 | info | root]: Train Reconstruction Loss : 211.8507
[2021-12-15 01:13:12 | info | root]: Test Reconstruction Loss : 210.64638 

[2021-12-15 01:13:49 | info | root]: Epoch : 1
[2021-12-15 01:13:49 | info | root]: Train Loss : 0.021337116
[2021-12-15 01:13:49 | info | root]: Test Loss : 0.021386106
[2021-12-15 01:13:49 | info | root]: Train Reconstruction Loss : 21.886543
[2021-12-15 01:13:49 | info | root]: Test Reconstruction Loss : 21.899372 

[2021-12-15 01:14:14 | info | root]: Epoch : 2
[2021-12-15 01:14:14 | info | root]: Train Loss : 0.016381467
[2021-12-15 01:14:14 | info | root]: Test Loss : 0.016486496
[2021-12-15 01:14:14 | info | root]: Train Reconstruction Loss : 16.85819
[2021-12-15 01:14:14 | info | root]: Test Reconstruction Loss : 16.882172 

[2021-12-15 01:14:39 | info | root]: Epoch : 3
[2021-12-15 01:14:43 | info | root]: Train Loss : 0.014352727
[2021-12-15 01:14:43 | info | root]: Test Loss : 0.014464722
[2021-12-15 01:14:43 | info | root]: Train Reconstruction Loss : 14.753148
[2021-12-15 01:14:43 | info | root]: Test Reconstruction Loss : 14.811875 

[2021-12-15 01:15:09 | info | root]: Epoch : 4
[2021-12-15 01:15:10 | info | root]: Train Loss : 0.013483649
[2021-12-15 01:15:11 | info | root]: Test Loss : 0.013544205
[2021-12-15 01:15:11 | info | root]: Train Reconstruction Loss : 13.811193
[2021-12-15 01:15:13 | info | root]: Test Reconstruction Loss : 13.869266 

[2021-12-15 01:15:39 | info | root]: Epoch : 5
[2021-12-15 01:15:39 | info | root]: Train Loss : 0.012604971
[2021-12-15 01:15:39 | info | root]: Test Loss : 0.012675312
[2021-12-15 01:15:39 | info | root]: Train Reconstruction Loss : 12.959295
[2021-12-15 01:15:39 | info | root]: Test Reconstruction Loss : 12.97952 

[2021-12-15 01:16:02 | info | root]: Epoch : 6
[2021-12-15 01:16:02 | info | root]: Train Loss : 0.012060856
[2021-12-15 01:16:02 | info | root]: Test Loss : 0.012152593
[2021-12-15 01:16:02 | info | root]: Train Reconstruction Loss : 12.369688
[2021-12-15 01:16:02 | info | root]: Test Reconstruction Loss : 12.444255 

[2021-12-15 01:16:26 | info | root]: Epoch : 7
[2021-12-15 01:16:26 | info | root]: Train Loss : 0.0115654785
[2021-12-15 01:16:26 | info | root]: Test Loss : 0.011676744
[2021-12-15 01:16:26 | info | root]: Train Reconstruction Loss : 11.912508
[2021-12-15 01:16:26 | info | root]: Test Reconstruction Loss : 11.956985 

[2021-12-15 01:16:49 | info | root]: Epoch : 8
[2021-12-15 01:16:49 | info | root]: Train Loss : 0.011113778
[2021-12-15 01:16:49 | info | root]: Test Loss : 0.011188003
[2021-12-15 01:16:49 | info | root]: Train Reconstruction Loss : 11.41451
[2021-12-15 01:16:49 | info | root]: Test Reconstruction Loss : 11.456515 

[2021-12-15 01:17:13 | info | root]: Epoch : 9
[2021-12-15 01:17:14 | info | root]: Train Loss : 0.01082303
[2021-12-15 01:17:15 | info | root]: Test Loss : 0.010896565
[2021-12-15 01:17:15 | info | root]: Train Reconstruction Loss : 11.051695
[2021-12-15 01:17:15 | info | root]: Test Reconstruction Loss : 11.158083 

[2021-12-15 01:17:39 | info | root]: Epoch : 10
[2021-12-15 01:17:39 | info | root]: Train Loss : 0.010486299
[2021-12-15 01:17:39 | info | root]: Test Loss : 0.010589206
[2021-12-15 01:17:39 | info | root]: Train Reconstruction Loss : 10.729921
[2021-12-15 01:17:39 | info | root]: Test Reconstruction Loss : 10.843347 

[2021-12-15 01:18:02 | info | root]: Epoch : 11
[2021-12-15 01:18:02 | info | root]: Train Loss : 0.010294309
[2021-12-15 01:18:02 | info | root]: Test Loss : 0.010381093
[2021-12-15 01:18:02 | info | root]: Train Reconstruction Loss : 10.536448
[2021-12-15 01:18:02 | info | root]: Test Reconstruction Loss : 10.630239 

[2021-12-15 01:18:26 | info | root]: Epoch : 12
[2021-12-15 01:18:26 | info | root]: Train Loss : 0.010107144
[2021-12-15 01:18:26 | info | root]: Test Loss : 0.010249657
