[2021-12-20 02:48:25 | info | root]: Now training is starting. We provide the parameters as the following
[2021-12-20 02:48:25 | info | root]: Dataset = coil
[2021-12-20 02:48:25 | info | root]: nz = 256
[2021-12-20 02:48:25 | info | root]: ngf = 16
[2021-12-20 02:48:25 | info | root]: nc = 1
[2021-12-20 02:48:25 | info | root]: lr = 0.0002
[2021-12-20 02:48:25 | info | root]: n_epochs = 500
[2021-12-20 02:48:25 | info | root]: Epoch : 0
[2021-12-20 02:48:25 | info | root]: Train Loss : 0.12882143
[2021-12-20 02:48:25 | info | root]: Test Loss : 0.12889226
[2021-12-20 02:48:25 | info | root]: Train Reconstruction Loss : 131.91437
[2021-12-20 02:48:25 | info | root]: Test Reconstruction Loss : 131.98567 

[2021-12-20 02:48:33 | info | root]: Epoch : 1
[2021-12-20 02:48:33 | info | root]: Train Loss : 0.06996092
[2021-12-20 02:48:33 | info | root]: Test Loss : 0.069298245
[2021-12-20 02:48:33 | info | root]: Train Reconstruction Loss : 71.548454
[2021-12-20 02:48:33 | info | root]: Test Reconstruction Loss : 70.96141 

[2021-12-20 02:48:34 | info | root]: Epoch : 2
[2021-12-20 02:48:34 | info | root]: Train Loss : 0.054459766
[2021-12-20 02:48:34 | info | root]: Test Loss : 0.053600967
[2021-12-20 02:48:34 | info | root]: Train Reconstruction Loss : 55.563484
[2021-12-20 02:48:34 | info | root]: Test Reconstruction Loss : 54.88739 

[2021-12-20 02:48:35 | info | root]: Epoch : 3
[2021-12-20 02:48:35 | info | root]: Train Loss : 0.045548126
[2021-12-20 02:48:35 | info | root]: Test Loss : 0.044902388
[2021-12-20 02:48:35 | info | root]: Train Reconstruction Loss : 46.61064
[2021-12-20 02:48:35 | info | root]: Test Reconstruction Loss : 45.980045 

[2021-12-20 02:48:35 | info | root]: Epoch : 4
[2021-12-20 02:48:35 | info | root]: Train Loss : 0.039414037
[2021-12-20 02:48:35 | info | root]: Test Loss : 0.03894671
[2021-12-20 02:48:35 | info | root]: Train Reconstruction Loss : 40.461655
[2021-12-20 02:48:35 | info | root]: Test Reconstruction Loss : 39.88143 

[2021-12-20 02:48:36 | info | root]: Epoch : 5
[2021-12-20 02:48:36 | info | root]: Train Loss : 0.034774438
[2021-12-20 02:48:36 | info | root]: Test Loss : 0.03445589
[2021-12-20 02:48:36 | info | root]: Train Reconstruction Loss : 35.707043
[2021-12-20 02:48:36 | info | root]: Test Reconstruction Loss : 35.282833 

[2021-12-20 02:48:37 | info | root]: Epoch : 6
[2021-12-20 02:48:37 | info | root]: Train Loss : 0.031186504
[2021-12-20 02:48:37 | info | root]: Test Loss : 0.03090844
[2021-12-20 02:48:37 | info | root]: Train Reconstruction Loss : 31.917196
[2021-12-20 02:48:37 | info | root]: Test Reconstruction Loss : 31.650242 

[2021-12-20 02:48:38 | info | root]: Epoch : 7
[2021-12-20 02:48:38 | info | root]: Train Loss : 0.028027782
[2021-12-20 02:48:38 | info | root]: Test Loss : 0.027883735
[2021-12-20 02:48:38 | info | root]: Train Reconstruction Loss : 28.803589
[2021-12-20 02:48:38 | info | root]: Test Reconstruction Loss : 28.552944 

[2021-12-20 02:48:38 | info | root]: Epoch : 8
[2021-12-20 02:48:38 | info | root]: Train Loss : 0.02541396
[2021-12-20 02:48:38 | info | root]: Test Loss : 0.0253736
[2021-12-20 02:48:38 | info | root]: Train Reconstruction Loss : 26.111624
[2021-12-20 02:48:38 | info | root]: Test Reconstruction Loss : 25.982567 

[2021-12-20 02:48:39 | info | root]: Epoch : 9
[2021-12-20 02:48:39 | info | root]: Train Loss : 0.023237552
[2021-12-20 02:48:39 | info | root]: Test Loss : 0.023220673
[2021-12-20 02:48:39 | info | root]: Train Reconstruction Loss : 23.807034
[2021-12-20 02:48:39 | info | root]: Test Reconstruction Loss : 23.77797 

[2021-12-20 02:48:40 | info | root]: Epoch : 10
[2021-12-20 02:48:40 | info | root]: Train Loss : 0.02139344
[2021-12-20 02:48:40 | info | root]: Test Loss : 0.021371631
[2021-12-20 02:48:40 | info | root]: Train Reconstruction Loss : 21.787481
[2021-12-20 02:48:40 | info | root]: Test Reconstruction Loss : 21.88455 

[2021-12-20 02:48:40 | info | root]: Epoch : 11
[2021-12-20 02:48:40 | info | root]: Train Loss : 0.01983972
[2021-12-20 02:48:40 | info | root]: Test Loss : 0.019956253
[2021-12-20 02:48:40 | info | root]: Train Reconstruction Loss : 20.302269
[2021-12-20 02:48:40 | info | root]: Test Reconstruction Loss : 20.435204 

[2021-12-20 02:48:41 | info | root]: Epoch : 12
[2021-12-20 02:48:41 | info | root]: Train Loss : 0.01840734
[2021-12-20 02:48:41 | info | root]: Test Loss : 0.018498782
[2021-12-20 02:48:41 | info | root]: Train Reconstruction Loss : 18.824715
[2021-12-20 02:48:41 | info | root]: Test Reconstruction Loss : 18.942753 

