[2021-12-14 21:25:10 | info | root]: Now training is starting. We provide the parameters as the following
[2021-12-14 21:25:10 | info | root]: Dataset = mnist
[2021-12-14 21:25:10 | info | root]: nz = 256
[2021-12-14 21:25:10 | info | root]: ngf = 16
[2021-12-14 21:25:10 | info | root]: nc = 1
[2021-12-14 21:25:10 | info | root]: lr = 0.0002
[2021-12-14 21:25:11 | info | root]: n_epochs = 500
[2021-12-14 21:25:11 | info | root]: Epoch : 0
[2021-12-14 21:25:11 | info | root]: Train Loss : 0.2335137
[2021-12-14 21:25:11 | info | root]: Test Loss : 0.23347485
[2021-12-14 21:25:11 | info | root]: Train Reconstruction Loss : 239.11436
[2021-12-14 21:25:11 | info | root]: Test Reconstruction Loss : 239.07825 

[2021-12-14 21:25:44 | info | root]: Epoch : 1
[2021-12-14 21:25:44 | info | root]: Train Loss : 0.004610987
[2021-12-14 21:25:44 | info | root]: Test Loss : 0.0048285327
[2021-12-14 21:25:44 | info | root]: Train Reconstruction Loss : 4.720197
[2021-12-14 21:25:44 | info | root]: Test Reconstruction Loss : 4.9444175 

[2021-12-14 21:26:10 | info | root]: Epoch : 2
[2021-12-14 21:26:10 | info | root]: Train Loss : 0.0017428331
[2021-12-14 21:26:10 | info | root]: Test Loss : 0.0018275961
[2021-12-14 21:26:10 | info | root]: Train Reconstruction Loss : 1.7850281
[2021-12-14 21:26:10 | info | root]: Test Reconstruction Loss : 1.8714584 

[2021-12-14 21:26:35 | info | root]: Epoch : 3
[2021-12-14 21:26:35 | info | root]: Train Loss : 0.0012343482
[2021-12-14 21:26:35 | info | root]: Test Loss : 0.0012722512
[2021-12-14 21:26:35 | info | root]: Train Reconstruction Loss : 1.2639661
[2021-12-14 21:26:35 | info | root]: Test Reconstruction Loss : 1.3027852 

[2021-12-14 21:27:01 | info | root]: Epoch : 4
[2021-12-14 21:27:02 | info | root]: Train Loss : 0.0010289017
[2021-12-14 21:27:02 | info | root]: Test Loss : 0.0010626815
[2021-12-14 21:27:02 | info | root]: Train Reconstruction Loss : 1.0534475
[2021-12-14 21:27:02 | info | root]: Test Reconstruction Loss : 1.0881858 

[2021-12-14 21:27:27 | info | root]: Epoch : 5
[2021-12-14 21:27:27 | info | root]: Train Loss : 0.00093205756
[2021-12-14 21:27:27 | info | root]: Test Loss : 0.00096583593
[2021-12-14 21:27:27 | info | root]: Train Reconstruction Loss : 0.95477074
[2021-12-14 21:27:27 | info | root]: Test Reconstruction Loss : 0.989016 

[2021-12-14 21:27:53 | info | root]: Epoch : 6
[2021-12-14 21:27:53 | info | root]: Train Loss : 0.0008664584
[2021-12-14 21:27:53 | info | root]: Test Loss : 0.00090022985
[2021-12-14 21:27:53 | info | root]: Train Reconstruction Loss : 0.8868881
[2021-12-14 21:27:53 | info | root]: Test Reconstruction Loss : 0.92183536 

[2021-12-14 21:28:18 | info | root]: Epoch : 7
[2021-12-14 21:28:19 | info | root]: Train Loss : 0.0008182397
[2021-12-14 21:28:19 | info | root]: Test Loss : 0.0008587331
[2021-12-14 21:28:19 | info | root]: Train Reconstruction Loss : 0.83740455
[2021-12-14 21:28:20 | info | root]: Test Reconstruction Loss : 0.8793425 

[2021-12-14 21:28:46 | info | root]: Epoch : 8
[2021-12-14 21:28:46 | info | root]: Train Loss : 0.00075490924
[2021-12-14 21:28:46 | info | root]: Test Loss : 0.0007837909
[2021-12-14 21:28:46 | info | root]: Train Reconstruction Loss : 0.7728888
[2021-12-14 21:28:46 | info | root]: Test Reconstruction Loss : 0.8026019 

[2021-12-14 21:29:11 | info | root]: Epoch : 9
[2021-12-14 21:29:12 | info | root]: Train Loss : 0.0007376242
[2021-12-14 21:29:13 | info | root]: Test Loss : 0.0007694558
[2021-12-14 21:29:13 | info | root]: Train Reconstruction Loss : 0.755423
[2021-12-14 21:29:13 | info | root]: Test Reconstruction Loss : 0.78792274 

[2021-12-14 21:29:39 | info | root]: Epoch : 10
[2021-12-14 21:29:39 | info | root]: Train Loss : 0.0007130107
[2021-12-14 21:29:39 | info | root]: Test Loss : 0.0007519029
[2021-12-14 21:29:39 | info | root]: Train Reconstruction Loss : 0.73002607
[2021-12-14 21:29:39 | info | root]: Test Reconstruction Loss : 0.7699485 

[2021-12-14 21:30:05 | info | root]: Epoch : 11
[2021-12-14 21:30:05 | info | root]: Train Loss : 0.0006806449
[2021-12-14 21:30:05 | info | root]: Test Loss : 0.0007114863
[2021-12-14 21:30:05 | info | root]: Train Reconstruction Loss : 0.6969649
[2021-12-14 21:30:05 | info | root]: Test Reconstruction Loss : 0.728562 

[2021-12-14 21:30:30 | info | root]: Epoch : 12
[2021-12-14 21:30:30 | info | root]: Train Loss : 0.0006433954
[2021-12-14 21:30:30 | info | root]: Test Loss : 0.00067300576
[2021-12-14 21:30:30 | info | root]: Train Reconstruction Loss : 0.6586726
[2021-12-14 21:30:30 | info | root]: Test Reconstruction Loss : 0.6891579 

[2021-12-14 21:30:56 | info | root]: Epoch : 13
[2021-12-14 21:30:57 | info | root]: Train Loss : 0.0006360365
[2021-12-14 21:30:58 | info | root]: Test Loss : 0.0006675466
[2021-12-14 21:30:58 | info | root]: Train Reconstruction Loss : 0.651251
[2021-12-14 21:30:58 | info | root]: Test Reconstruction Loss : 0.6835676 

[2021-12-14 21:31:24 | info | root]: Epoch : 14
