[2021-12-20 04:47:22 | info | root]: Now training of Implicit-GON is starting. We provide the parameters as the following
[2021-12-20 04:47:22 | info | root]: Dataset = coil
[2021-12-20 04:47:22 | info | root]: num_latent = 32
[2021-12-20 04:47:22 | info | root]: lr = 0.0001
[2021-12-20 04:47:22 | info | root]: n_epochs = 500
[2021-12-20 04:47:22 | info | root]: Epoch : 0
[2021-12-20 04:47:23 | info | root]: Train Loss : 0.19763072
[2021-12-20 04:47:23 | info | root]: Test Loss : 0.1922507
[2021-12-20 04:48:13 | info | root]: Epoch : 1
[2021-12-20 04:48:13 | info | root]: Train Loss : 0.06746212
[2021-12-20 04:48:13 | info | root]: Test Loss : 0.06961614
[2021-12-20 04:48:37 | info | root]: Epoch : 2
[2021-12-20 04:48:37 | info | root]: Train Loss : 0.066532284
[2021-12-20 04:48:37 | info | root]: Test Loss : 0.06845922
[2021-12-20 04:48:42 | info | root]: Epoch : 3
[2021-12-20 04:48:42 | info | root]: Train Loss : 0.065632895
[2021-12-20 04:48:42 | info | root]: Test Loss : 0.067724735
[2021-12-20 04:48:48 | info | root]: Epoch : 4
[2021-12-20 04:48:48 | info | root]: Train Loss : 0.05391243
[2021-12-20 04:48:48 | info | root]: Test Loss : 0.05493656
[2021-12-20 04:48:58 | info | root]: Epoch : 5
[2021-12-20 04:48:58 | info | root]: Train Loss : 0.050572906
[2021-12-20 04:48:58 | info | root]: Test Loss : 0.05226981
[2021-12-20 04:49:07 | info | root]: Epoch : 6
[2021-12-20 04:49:07 | info | root]: Train Loss : 0.04883675
[2021-12-20 04:49:07 | info | root]: Test Loss : 0.050119407
[2021-12-20 04:49:18 | info | root]: Epoch : 7
[2021-12-20 04:49:18 | info | root]: Train Loss : 0.04823491
[2021-12-20 04:49:18 | info | root]: Test Loss : 0.050060403
[2021-12-20 04:49:23 | info | root]: Epoch : 8
[2021-12-20 04:49:23 | info | root]: Train Loss : 0.048358697
[2021-12-20 04:49:23 | info | root]: Test Loss : 0.050115764
[2021-12-20 04:49:28 | info | root]: Epoch : 9
[2021-12-20 04:49:28 | info | root]: Train Loss : 0.04851079
[2021-12-20 04:49:28 | info | root]: Test Loss : 0.049892597
[2021-12-20 04:49:38 | info | root]: Epoch : 10
[2021-12-20 04:49:38 | info | root]: Train Loss : 0.049893357
[2021-12-20 04:49:38 | info | root]: Test Loss : 0.05154336
[2021-12-20 04:49:47 | info | root]: Epoch : 11
[2021-12-20 04:49:47 | info | root]: Train Loss : 0.051140185
[2021-12-20 04:49:47 | info | root]: Test Loss : 0.05195322
[2021-12-20 04:49:59 | info | root]: Epoch : 12
[2021-12-20 04:49:59 | info | root]: Train Loss : 0.04756713
[2021-12-20 04:49:59 | info | root]: Test Loss : 0.048516415
[2021-12-20 04:50:05 | info | root]: Epoch : 13
