[2021-12-20 04:46:31 | info | root]: Now training of Implicit-GON is starting. We provide the parameters as the following
[2021-12-20 04:46:31 | info | root]: Dataset = fashion
[2021-12-20 04:46:31 | info | root]: num_latent = 32
[2021-12-20 04:46:31 | info | root]: lr = 0.0002
[2021-12-20 04:46:31 | info | root]: n_epochs = 500
[2021-12-20 04:46:31 | info | root]: Epoch : 0
[2021-12-20 04:46:32 | info | root]: Train Loss : 0.20152164
[2021-12-20 04:46:32 | info | root]: Test Loss : 0.20163457
[2021-12-20 04:50:23 | info | root]: Epoch : 1
[2021-12-20 04:50:23 | info | root]: Train Loss : 0.034436733
[2021-12-20 04:50:23 | info | root]: Test Loss : 0.03444634
[2021-12-20 04:57:38 | info | root]: Epoch : 2
[2021-12-20 04:57:38 | info | root]: Train Loss : 0.027465865
[2021-12-20 04:57:38 | info | root]: Test Loss : 0.027606381
[2021-12-20 05:07:31 | info | root]: Epoch : 3
[2021-12-20 05:07:31 | info | root]: Train Loss : 0.023608398
[2021-12-20 05:07:31 | info | root]: Test Loss : 0.023748947
[2021-12-20 05:14:25 | info | root]: Epoch : 4
[2021-12-20 05:14:25 | info | root]: Train Loss : 0.02080381
[2021-12-20 05:14:25 | info | root]: Test Loss : 0.020956524
[2021-12-20 05:21:26 | info | root]: Epoch : 5
[2021-12-20 05:21:26 | info | root]: Train Loss : 0.01950681
[2021-12-20 05:21:26 | info | root]: Test Loss : 0.01967786
[2021-12-20 05:29:38 | info | root]: Epoch : 6
[2021-12-20 05:29:38 | info | root]: Train Loss : 0.019712353
[2021-12-20 05:29:38 | info | root]: Test Loss : 0.019845923
[2021-12-20 05:38:25 | info | root]: Epoch : 7
[2021-12-20 05:38:25 | info | root]: Train Loss : 0.018908754
[2021-12-20 05:38:25 | info | root]: Test Loss : 0.019047635
[2021-12-20 05:47:15 | info | root]: Epoch : 8
[2021-12-20 05:47:15 | info | root]: Train Loss : 0.01796859
[2021-12-20 05:47:15 | info | root]: Test Loss : 0.018099535
[2021-12-20 05:55:24 | info | root]: Epoch : 9
[2021-12-20 05:55:24 | info | root]: Train Loss : 0.01750025
[2021-12-20 05:55:24 | info | root]: Test Loss : 0.01762521
[2021-12-20 06:05:47 | info | root]: Epoch : 10
[2021-12-20 06:05:47 | info | root]: Train Loss : 0.016914502
[2021-12-20 06:05:47 | info | root]: Test Loss : 0.017078096
[2021-12-20 06:13:50 | info | root]: Epoch : 11
[2021-12-20 06:13:50 | info | root]: Train Loss : 0.016303586
[2021-12-20 06:13:50 | info | root]: Test Loss : 0.016501533
[2021-12-20 06:20:46 | info | root]: Epoch : 12
