[2021-12-20 04:46:07 | info | root]: Now training of Implicit-GON is starting. We provide the parameters as the following
[2021-12-20 04:46:07 | info | root]: Dataset = mnist
[2021-12-20 04:46:07 | info | root]: num_latent = 32
[2021-12-20 04:46:07 | info | root]: lr = 0.0002
[2021-12-20 04:46:07 | info | root]: n_epochs = 500
[2021-12-20 04:46:07 | info | root]: Epoch : 0
[2021-12-20 04:46:08 | info | root]: Train Loss : 0.11700103
[2021-12-20 04:46:08 | info | root]: Test Loss : 0.11898464
[2021-12-20 04:53:12 | info | root]: Epoch : 1
[2021-12-20 04:53:12 | info | root]: Train Loss : 0.051337928
[2021-12-20 04:53:12 | info | root]: Test Loss : 0.051241234
[2021-12-20 05:00:47 | info | root]: Epoch : 2
[2021-12-20 05:00:47 | info | root]: Train Loss : 0.034040812
[2021-12-20 05:00:47 | info | root]: Test Loss : 0.033974167
[2021-12-20 05:08:07 | info | root]: Epoch : 3
[2021-12-20 05:08:07 | info | root]: Train Loss : 0.028157994
[2021-12-20 05:08:07 | info | root]: Test Loss : 0.027959542
[2021-12-20 05:19:31 | info | root]: Epoch : 4
[2021-12-20 05:19:31 | info | root]: Train Loss : 0.023878839
[2021-12-20 05:19:31 | info | root]: Test Loss : 0.023666274
[2021-12-20 05:26:45 | info | root]: Epoch : 5
[2021-12-20 05:26:45 | info | root]: Train Loss : 0.02322553
[2021-12-20 05:26:45 | info | root]: Test Loss : 0.023045126
[2021-12-20 05:35:10 | info | root]: Epoch : 6
[2021-12-20 05:35:10 | info | root]: Train Loss : 0.02017686
[2021-12-20 05:35:10 | info | root]: Test Loss : 0.020185547
[2021-12-20 05:42:24 | info | root]: Epoch : 7
[2021-12-20 05:42:24 | info | root]: Train Loss : 0.018341474
[2021-12-20 05:42:24 | info | root]: Test Loss : 0.01818787
[2021-12-20 05:51:35 | info | root]: Epoch : 8
[2021-12-20 05:51:35 | info | root]: Train Loss : 0.016818956
[2021-12-20 05:51:35 | info | root]: Test Loss : 0.01677395
[2021-12-20 05:58:46 | info | root]: Epoch : 9
[2021-12-20 05:58:46 | info | root]: Train Loss : 0.015788732
[2021-12-20 05:58:46 | info | root]: Test Loss : 0.015757345
[2021-12-20 06:07:56 | info | root]: Epoch : 10
[2021-12-20 06:07:56 | info | root]: Train Loss : 0.015235489
[2021-12-20 06:07:56 | info | root]: Test Loss : 0.015214052
[2021-12-20 06:16:47 | info | root]: Epoch : 11
[2021-12-20 06:16:47 | info | root]: Train Loss : 0.014239916
[2021-12-20 06:16:47 | info | root]: Test Loss : 0.014236433
[2021-12-20 06:27:14 | info | root]: Epoch : 12
[2021-12-20 06:27:14 | info | root]: Train Loss : 0.014180753
[2021-12-20 06:27:14 | info | root]: Test Loss : 0.014214731
[2021-12-20 06:38:35 | info | root]: Epoch : 13
[2021-12-20 06:38:35 | info | root]: Train Loss : 0.013050431
[2021-12-20 06:38:35 | info | root]: Test Loss : 0.013090511
[2021-12-20 06:45:43 | info | root]: Epoch : 14
[2021-12-20 06:45:43 | info | root]: Train Loss : 0.01250513
[2021-12-20 06:45:43 | info | root]: Test Loss : 0.012517044
[2021-12-20 06:52:54 | info | root]: Epoch : 15
[2021-12-20 06:52:54 | info | root]: Train Loss : 0.011770519
[2021-12-20 06:52:54 | info | root]: Test Loss : 0.011860451
