[2021-12-20 03:29:47 | info | root]: Now training is starting. We provide the parameters as the following
[2021-12-20 03:29:48 | info | root]: Dataset = coil
[2021-12-20 03:29:48 | info | root]: nz = 512
[2021-12-20 03:29:48 | info | root]: ngf = 16
[2021-12-20 03:29:48 | info | root]: nc = 1
[2021-12-20 03:29:48 | info | root]: lr = 0.0002
[2021-12-20 03:29:48 | info | root]: n_epochs = 1000
[2021-12-20 03:29:48 | info | root]: Epoch : 0
[2021-12-20 03:29:48 | info | root]: Train Loss : 841.182485519184
[2021-12-20 03:29:48 | info | root]: Test Loss : 842.1468753889203
[2021-12-20 03:29:48 | info | root]: Train Reconstruction Loss : 197.55176
[2021-12-20 03:29:48 | info | root]: Test Reconstruction Loss : 201.83029 

[2021-12-20 03:29:58 | info | root]: Epoch : 1
[2021-12-20 03:29:58 | info | root]: Train Loss : 784.9513410892752
[2021-12-20 03:29:58 | info | root]: Test Loss : 786.0840092003345
[2021-12-20 03:29:58 | info | root]: Train Reconstruction Loss : 176.1507
[2021-12-20 03:29:58 | info | root]: Test Reconstruction Loss : 180.33902 

[2021-12-20 03:30:29 | info | root]: Epoch : 2
[2021-12-20 03:30:29 | info | root]: Train Loss : 723.1325846645567
[2021-12-20 03:30:29 | info | root]: Test Loss : 721.3882068395615
[2021-12-20 03:30:29 | info | root]: Train Reconstruction Loss : 147.69797
[2021-12-20 03:30:29 | info | root]: Test Reconstruction Loss : 151.0546 

[2021-12-20 03:30:29 | info | root]: Epoch : 3
[2021-12-20 03:30:29 | info | root]: Train Loss : 659.3437998029921
[2021-12-20 03:30:29 | info | root]: Test Loss : 656.6405205726624
[2021-12-20 03:30:29 | info | root]: Train Reconstruction Loss : 112.813774
[2021-12-20 03:30:29 | info | root]: Test Reconstruction Loss : 115.20525 

[2021-12-20 03:30:30 | info | root]: Epoch : 4
[2021-12-20 03:30:30 | info | root]: Train Loss : 627.4387062920464
[2021-12-20 03:30:30 | info | root]: Test Loss : 624.2231202125549
[2021-12-20 03:30:30 | info | root]: Train Reconstruction Loss : 97.0832
[2021-12-20 03:30:30 | info | root]: Test Reconstruction Loss : 100.132645 

[2021-12-20 03:30:31 | info | root]: Epoch : 5
[2021-12-20 03:30:31 | info | root]: Train Loss : 606.1011373202006
[2021-12-20 03:30:31 | info | root]: Test Loss : 603.0157113075256
[2021-12-20 03:30:31 | info | root]: Train Reconstruction Loss : 89.26419
[2021-12-20 03:30:31 | info | root]: Test Reconstruction Loss : 92.24211 

[2021-12-20 03:30:31 | info | root]: Epoch : 6
[2021-12-20 03:30:31 | info | root]: Train Loss : 586.1338254610697
[2021-12-20 03:30:31 | info | root]: Test Loss : 581.9849371910095
[2021-12-20 03:30:31 | info | root]: Train Reconstruction Loss : 80.62725
[2021-12-20 03:30:31 | info | root]: Test Reconstruction Loss : 83.24379 

[2021-12-20 03:30:32 | info | root]: Epoch : 7
[2021-12-20 03:30:32 | info | root]: Train Loss : 572.9857223828634
[2021-12-20 03:30:32 | info | root]: Test Loss : 569.1278767585754
[2021-12-20 03:30:32 | info | root]: Train Reconstruction Loss : 73.97222
[2021-12-20 03:30:32 | info | root]: Test Reconstruction Loss : 75.36015 

[2021-12-20 03:30:32 | info | root]: Epoch : 8
[2021-12-20 03:30:32 | info | root]: Train Loss : 561.7937469482422
[2021-12-20 03:30:32 | info | root]: Test Loss : 556.9605178833008
[2021-12-20 03:30:32 | info | root]: Train Reconstruction Loss : 69.73861
[2021-12-20 03:30:32 | info | root]: Test Reconstruction Loss : 72.27466 

[2021-12-20 03:30:33 | info | root]: Epoch : 9
[2021-12-20 03:30:33 | info | root]: Train Loss : 549.2331087324354
[2021-12-20 03:30:33 | info | root]: Test Loss : 545.5099394321442
[2021-12-20 03:30:33 | info | root]: Train Reconstruction Loss : 64.470634
[2021-12-20 03:30:33 | info | root]: Test Reconstruction Loss : 67.86937 

[2021-12-20 03:30:34 | info | root]: Epoch : 10
[2021-12-20 03:30:34 | info | root]: Train Loss : 538.211065557268
[2021-12-20 03:30:34 | info | root]: Test Loss : 533.929386138916
[2021-12-20 03:30:34 | info | root]: Train Reconstruction Loss : 60.019417
[2021-12-20 03:30:34 | info | root]: Test Reconstruction Loss : 62.251396 

[2021-12-20 03:30:34 | info | root]: Epoch : 11
[2021-12-20 03:30:34 | info | root]: Train Loss : 531.9745453198751
[2021-12-20 03:30:34 | info | root]: Test Loss : 527.9331903457642
[2021-12-20 03:30:34 | info | root]: Train Reconstruction Loss : 57.821663
[2021-12-20 03:30:34 | info | root]: Test Reconstruction Loss : 60.215927 

[2021-12-20 03:30:35 | info | root]: Epoch : 12
