[2021-12-15 14:35:59 | info | root]: Now training is starting. We provide the parameters as the following
[2021-12-15 14:35:59 | info | root]: Dataset = fashion
[2021-12-15 14:35:59 | info | root]: nz = 256
[2021-12-15 14:35:59 | info | root]: ngf = 16
[2021-12-15 14:35:59 | info | root]: nc = 1
[2021-12-15 14:35:59 | info | root]: lr = 0.0002
[2021-12-15 14:35:59 | info | root]: n_epochs = 1000
[2021-12-15 14:35:59 | info | root]: Epoch : 0
[2021-12-15 14:35:59 | info | root]: Train Loss : 785.8021392920388
[2021-12-15 14:35:59 | info | root]: Test Loss : 785.9846217101201
[2021-12-15 14:36:00 | info | root]: Train Reconstruction Loss : 193.65884
[2021-12-15 14:36:00 | info | root]: Test Reconstruction Loss : 192.80933 

[2021-12-15 14:36:39 | info | root]: Epoch : 1
[2021-12-15 14:36:39 | info | root]: Train Loss : 388.41714343393625
[2021-12-15 14:36:39 | info | root]: Test Loss : 390.55357864575507
[2021-12-15 14:36:39 | info | root]: Train Reconstruction Loss : 28.710337
[2021-12-15 14:36:39 | info | root]: Test Reconstruction Loss : 28.710997 

[2021-12-15 14:37:09 | info | root]: Epoch : 2
[2021-12-15 14:37:09 | info | root]: Train Loss : 377.14276204572286
[2021-12-15 14:37:09 | info | root]: Test Loss : 379.03128467462
[2021-12-15 14:37:09 | info | root]: Train Reconstruction Loss : 26.075289
[2021-12-15 14:37:09 | info | root]: Test Reconstruction Loss : 26.092573 

[2021-12-15 14:37:39 | info | root]: Epoch : 3
[2021-12-15 14:37:39 | info | root]: Train Loss : 372.07909791065
[2021-12-15 14:37:39 | info | root]: Test Loss : 374.1594634667421
[2021-12-15 14:37:39 | info | root]: Train Reconstruction Loss : 25.193172
[2021-12-15 14:37:40 | info | root]: Test Reconstruction Loss : 25.408922 

[2021-12-15 14:38:11 | info | root]: Epoch : 4
[2021-12-15 14:38:11 | info | root]: Train Loss : 366.543074538639
[2021-12-15 14:38:11 | info | root]: Test Loss : 368.58792643669324
[2021-12-15 14:38:11 | info | root]: Train Reconstruction Loss : 23.252918
[2021-12-15 14:38:11 | info | root]: Test Reconstruction Loss : 23.252592 

[2021-12-15 14:38:40 | info | root]: Epoch : 5
[2021-12-15 14:38:41 | info | root]: Train Loss : 361.52625980499334
[2021-12-15 14:38:41 | info | root]: Test Loss : 363.7057916078812
[2021-12-15 14:38:41 | info | root]: Train Reconstruction Loss : 22.07373
[2021-12-15 14:38:41 | info | root]: Test Reconstruction Loss : 22.13362 

[2021-12-15 14:39:12 | info | root]: Epoch : 6
[2021-12-15 14:39:12 | info | root]: Train Loss : 357.78378521238346
[2021-12-15 14:39:12 | info | root]: Test Loss : 359.5828831746028
[2021-12-15 14:39:12 | info | root]: Train Reconstruction Loss : 21.54578
[2021-12-15 14:39:12 | info | root]: Test Reconstruction Loss : 21.50746 

[2021-12-15 14:39:42 | info | root]: Epoch : 7
[2021-12-15 14:39:42 | info | root]: Train Loss : 352.6839551589787
[2021-12-15 14:39:43 | info | root]: Test Loss : 354.5581044478294
[2021-12-15 14:39:43 | info | root]: Train Reconstruction Loss : 19.99799
[2021-12-15 14:39:43 | info | root]: Test Reconstruction Loss : 20.011383 

[2021-12-15 14:40:13 | info | root]: Epoch : 8
[2021-12-15 14:40:14 | info | root]: Train Loss : 349.10618991811094
[2021-12-15 14:40:14 | info | root]: Test Loss : 351.2560491133959
[2021-12-15 14:40:14 | info | root]: Train Reconstruction Loss : 18.90271
[2021-12-15 14:40:14 | info | root]: Test Reconstruction Loss : 18.939861 

[2021-12-15 14:40:45 | info | root]: Epoch : 9
[2021-12-15 14:40:45 | info | root]: Train Loss : 346.8881702168647
[2021-12-15 14:40:45 | info | root]: Test Loss : 349.09798686932294
[2021-12-15 14:40:45 | info | root]: Train Reconstruction Loss : 18.307577
[2021-12-15 14:40:45 | info | root]: Test Reconstruction Loss : 18.307438 

[2021-12-15 14:41:14 | info | root]: Epoch : 10
[2021-12-15 14:41:14 | info | root]: Train Loss : 344.4291286285303
[2021-12-15 14:41:14 | info | root]: Test Loss : 346.46223619656683
[2021-12-15 14:41:14 | info | root]: Train Reconstruction Loss : 17.636799
[2021-12-15 14:41:14 | info | root]: Test Reconstruction Loss : 17.729542 

[2021-12-15 14:41:45 | info | root]: Epoch : 11
[2021-12-15 14:41:45 | info | root]: Train Loss : 342.93576831064456
[2021-12-15 14:41:45 | info | root]: Test Loss : 345.2570510583046
[2021-12-15 14:41:45 | info | root]: Train Reconstruction Loss : 17.108921
[2021-12-15 14:41:45 | info | root]: Test Reconstruction Loss : 17.171492 

[2021-12-15 14:42:15 | info | root]: Epoch : 12
[2021-12-15 14:42:15 | info | root]: Train Loss : 342.06316205760584
[2021-12-15 14:42:15 | info | root]: Test Loss : 344.1094828141041
[2021-12-15 14:42:15 | info | root]: Train Reconstruction Loss : 16.800175
[2021-12-15 14:42:15 | info | root]: Test Reconstruction Loss : 16.8333 

[2021-12-15 14:42:46 | info | root]: Epoch : 13
[2021-12-15 14:42:46 | info | root]: Train Loss : 340.6092054189969
[2021-12-15 14:42:46 | info | root]: Test Loss : 342.74455119401983
[2021-12-15 14:42:47 | info | root]: Train Reconstruction Loss : 16.50933
[2021-12-15 14:42:47 | info | root]: Test Reconstruction Loss : 16.603045 

[2021-12-15 14:43:18 | info | root]: Epoch : 14
[2021-12-15 14:43:18 | info | root]: Train Loss : 340.19208866962117
