[2021-12-15 20:39:55 | info | root]: Now training is starting. We provide the parameters as the following
[2021-12-15 20:39:55 | info | root]: Dataset = mnist
[2021-12-15 20:39:55 | info | root]: nz = 512
[2021-12-15 20:39:55 | info | root]: ngf = 16
[2021-12-15 20:39:55 | info | root]: nc = 1
[2021-12-15 20:39:55 | info | root]: lr = 0.0002
[2021-12-15 20:39:55 | info | root]: n_epochs = 1000
[2021-12-15 20:39:55 | info | root]: Epoch : 0
[2021-12-15 20:39:55 | info | root]: Train Loss : 858.6399092521268
[2021-12-15 20:39:55 | info | root]: Test Loss : 858.3354508813757
[2021-12-15 20:39:56 | info | root]: Train Reconstruction Loss : 286.46906
[2021-12-15 20:39:56 | info | root]: Test Reconstruction Loss : 286.51404 

[2021-12-15 20:40:38 | info | root]: Epoch : 1
[2021-12-15 20:40:38 | info | root]: Train Loss : 241.3084307602401
[2021-12-15 20:40:38 | info | root]: Test Loss : 242.364715496699
[2021-12-15 20:40:38 | info | root]: Train Reconstruction Loss : 36.374783
[2021-12-15 20:40:38 | info | root]: Test Reconstruction Loss : 36.842556 

[2021-12-15 20:41:12 | info | root]: Epoch : 2
[2021-12-15 20:41:12 | info | root]: Train Loss : 215.05824091493002
[2021-12-15 20:41:12 | info | root]: Test Loss : 216.16181742227994
[2021-12-15 20:41:12 | info | root]: Train Reconstruction Loss : 30.062664
[2021-12-15 20:41:12 | info | root]: Test Reconstruction Loss : 30.490986 

[2021-12-15 20:41:44 | info | root]: Epoch : 3
[2021-12-15 20:41:44 | info | root]: Train Loss : 207.01541066042515
[2021-12-15 20:41:44 | info | root]: Test Loss : 208.4474060352032
[2021-12-15 20:41:44 | info | root]: Train Reconstruction Loss : 27.904541
[2021-12-15 20:41:44 | info | root]: Test Reconstruction Loss : 28.467213 

[2021-12-15 20:42:16 | info | root]: Epoch : 4
[2021-12-15 20:42:16 | info | root]: Train Loss : 201.02916803227671
[2021-12-15 20:42:16 | info | root]: Test Loss : 202.68566226959229
[2021-12-15 20:42:16 | info | root]: Train Reconstruction Loss : 25.917889
[2021-12-15 20:42:16 | info | root]: Test Reconstruction Loss : 26.502827 

[2021-12-15 20:42:49 | info | root]: Epoch : 5
[2021-12-15 20:42:49 | info | root]: Train Loss : 194.3947842291605
[2021-12-15 20:42:49 | info | root]: Test Loss : 195.89614590620383
[2021-12-15 20:42:49 | info | root]: Train Reconstruction Loss : 24.206182
[2021-12-15 20:42:49 | info | root]: Test Reconstruction Loss : 24.761526 

[2021-12-15 20:43:21 | info | root]: Epoch : 6
[2021-12-15 20:43:21 | info | root]: Train Loss : 188.5107516926915
[2021-12-15 20:43:21 | info | root]: Test Loss : 190.62872623174619
[2021-12-15 20:43:21 | info | root]: Train Reconstruction Loss : 22.647736
[2021-12-15 20:43:21 | info | root]: Test Reconstruction Loss : 23.39771 

[2021-12-15 20:43:54 | info | root]: Epoch : 7
[2021-12-15 20:43:54 | info | root]: Train Loss : 182.51169865261147
[2021-12-15 20:43:54 | info | root]: Test Loss : 184.43954171278537
[2021-12-15 20:43:54 | info | root]: Train Reconstruction Loss : 20.523994
[2021-12-15 20:43:55 | info | root]: Test Reconstruction Loss : 21.249826 

[2021-12-15 20:44:28 | info | root]: Epoch : 8
[2021-12-15 20:44:28 | info | root]: Train Loss : 177.7912897559851
[2021-12-15 20:44:28 | info | root]: Test Loss : 179.985678147047
[2021-12-15 20:44:28 | info | root]: Train Reconstruction Loss : 19.056326
[2021-12-15 20:44:28 | info | root]: Test Reconstruction Loss : 19.795843 

[2021-12-15 20:45:00 | info | root]: Epoch : 9
[2021-12-15 20:45:01 | info | root]: Train Loss : 175.0415778409455
[2021-12-15 20:45:01 | info | root]: Test Loss : 177.19937065931467
[2021-12-15 20:45:01 | info | root]: Train Reconstruction Loss : 18.37915
[2021-12-15 20:45:01 | info | root]: Test Reconstruction Loss : 19.172373 

[2021-12-15 20:45:34 | info | root]: Epoch : 10
[2021-12-15 20:45:35 | info | root]: Train Loss : 173.01757172103117
[2021-12-15 20:45:35 | info | root]: Test Loss : 175.87436191852277
[2021-12-15 20:45:35 | info | root]: Train Reconstruction Loss : 17.552223
